snapped_at,price,market_cap,total_volume
2021-05-12 00:00:00 UTC,1860.3159285322208,197866253.56490076,27170876.67108087
2021-05-13 00:00:00 UTC,1777.929385826671,196500637.7132015,16720989.262453638
2021-05-14 00:00:00 UTC,1866.4242234552592,204893734.50526088,32200247.14829567
2021-05-15 00:00:00 UTC,1871.977891596145,209754088.65194198,16930232.557004187
2021-05-16 00:00:00 UTC,1875.388025966683,209987675.9429008,21289567.305391096
2021-05-17 00:00:00 UTC,1953.5501091114043,218575907.06638953,36459522.33009736
2021-05-18 00:00:00 UTC,1925.6516935750385,229721844.14165407,66364683.31306455
2021-05-19 00:00:00 UTC,1880.2843178182766,238935295.90142283,36743003.57513402
2021-05-20 00:00:00 UTC,1861.7851843951316,243146107.0282049,88015787.5887359
2021-05-21 00:00:00 UTC,1858.4214250925208,243960911.90722078,51943306.06149594
2021-05-22 00:00:00 UTC,1904.8650515651855,236107753.4590414,44401034.078083605
2021-05-23 00:00:00 UTC,1893.0447746774155,236050165.62951595,24595531.21545294
2021-05-24 00:00:00 UTC,1901.603603114339,236848582.61415052,44852503.33311692
2021-05-25 00:00:00 UTC,1884.1661969421755,241036314.95960006,36122758.52098224
2021-05-26 00:00:00 UTC,1906.8790675754576,242900588.39336133,33537001.089367487
2021-05-27 00:00:00 UTC,1916.4059526914014,249668369.9089571,17981680.18779561
2021-05-28 00:00:00 UTC,1905.6781908944495,249823613.25806916,15557352.95243148
2021-05-29 00:00:00 UTC,1918.9371923134177,255093245.43304208,27544900.948670626
2021-05-30 00:00:00 UTC,1942.7437706802452,258743529.59638345,21728505.025200978
2021-05-31 00:00:00 UTC,1916.8203321703868,254372640.56166303,15463005.464354422
2021-06-01 00:00:00 UTC,1920.759387560082,254889153.75051036,19569284.80979091
2021-06-02 00:00:00 UTC,1925.4044967290672,264415158.75682238,20987048.74619912
2021-06-03 00:00:00 UTC,1920.0568914040005,264757351.79563394,12131117.868424488
2021-06-04 00:00:00 UTC,1889.084063281814,260749686.19729847,14473553.45840407
2021-06-05 00:00:00 UTC,1897.1026932595657,261875173.1449831,14006809.329364117
2021-06-06 00:00:00 UTC,1907.3274915691236,262982685.05321684,12479668.225021057
2021-06-07 00:00:00 UTC,1908.1330354590157,263345677.99960566,8101610.676799593
2021-06-08 00:00:00 UTC,1884.6378144391058,274036333.60009855,14263667.312261334
2021-06-09 00:00:00 UTC,1897.3110894134682,275820212.49472964,25614625.85862346
2021-06-10 00:00:00 UTC,1905.8874878968093,277153533.345996,18061908.986615263
2021-06-11 00:00:00 UTC,1900.5952505226542,273350774.7501088,19256918.407269195
2021-06-12 00:00:00 UTC,1893.3398166461718,278457069.54161876,13875023.344849665
2021-06-13 00:00:00 UTC,1892.397813711543,279140677.2740882,9964210.846738018
2021-06-14 00:00:00 UTC,1889.4280366656435,276869454.351076,11496871.56546784
2021-06-15 00:00:00 UTC,1876.5080358850912,277126519.95825285,13292389.498744505
2021-06-16 00:00:00 UTC,1863.121603861053,276158651.4744559,7139973.420204359
2021-06-17 00:00:00 UTC,1824.9553744522145,270735300.3168096,11926473.44577363
2021-06-18 00:00:00 UTC,1799.79641102671,267019974.9593725,16037947.601027897
2021-06-19 00:00:00 UTC,1773.1005659361638,264966027.4477849,16959915.140521083
2021-06-20 00:00:00 UTC,1771.0481342927321,264599957.311055,6304032.852567946
2021-06-21 00:00:00 UTC,1786.7443231618754,266729868.01737195,9736770.832362186
2021-06-22 00:00:00 UTC,1795.4593099356557,278480081.08487046,30583663.59635616
2021-06-23 00:00:00 UTC,1786.4109433501721,282647586.4976849,28973528.390827164
2021-06-24 00:00:00 UTC,1785.1375788133455,282301690.2006289,12836668.458301457
2021-06-25 00:00:00 UTC,1782.0358158434801,281456393.78056306,9696044.214371897
2021-06-26 00:00:00 UTC,1788.413359957693,283883136.8133364,13992832.079086795
2021-06-27 00:00:00 UTC,1791.327926827164,283352514.974905,8114967.38558989
2021-06-28 00:00:00 UTC,1789.7624693741784,283609932.396386,8418144.582131613
2021-06-29 00:00:00 UTC,1793.2828024286098,286610197.02705026,13363707.029831955
2021-06-30 00:00:00 UTC,1768.5706859196898,283191864.77284706,13296689.847883329
2021-07-01 00:00:00 UTC,1783.632738282347,285729150.2050229,14440031.101196837
2021-07-02 00:00:00 UTC,1781.710648754859,286130572.19171214,8419198.64946041
2021-07-03 00:00:00 UTC,1799.3594888817397,288516910.84849685,8141529.141393088
2021-07-04 00:00:00 UTC,1796.7197245455145,288422266.32370746,4309137.533380841
2021-07-05 00:00:00 UTC,1795.961684181026,288222830.67118365,5153252.037920036
2021-07-06 00:00:00 UTC,1795.4301183767705,288257125.7792873,11431740.674302135
2021-07-07 00:00:00 UTC,1803.4181663905697,289467709.16272676,9584920.0404097
2021-07-08 00:00:00 UTC,1805.4034786149823,289808391.3078382,7117736.791618902
2021-07-09 00:00:00 UTC,1816.074119023394,291521998.1531291,21090849.74648477
2021-07-10 00:00:00 UTC,1819.8964960454011,291592489.70692015,6379661.558580541
2021-07-11 00:00:00 UTC,1815.5004122672333,291480979.71686035,4963555.260359654
2021-07-12 00:00:00 UTC,1814.3248588581505,291292910.5137873,3899105.5126534523
2021-07-13 00:00:00 UTC,1816.7579918861973,295061701.428719,6411256.512682428
2021-07-14 00:00:00 UTC,1811.0292268644891,299925117.42470837,5798042.6100672195
2021-07-15 00:00:00 UTC,1835.5982715232217,304048682.2100505,15130687.519621287
2021-07-16 00:00:00 UTC,1835.1534186045208,305866548.95479196,11888578.291072888
2021-07-17 00:00:00 UTC,1812.0964848895526,304067544.2062498,11892310.637630094
2021-07-18 00:00:00 UTC,1815.379072200503,305234226.0827615,4592924.972740626
2021-07-19 00:00:00 UTC,1824.9200906257258,306009915.96636814,4701904.863378887
2021-07-20 00:00:00 UTC,1822.9550153862422,308088203.91258967,9013858.448499937
2021-07-21 00:00:00 UTC,1819.0600966013192,307237652.1831113,21064364.659115504
2021-07-22 00:00:00 UTC,1822.8135167900425,306959075.1111392,13232619.311851272
2021-07-23 00:00:00 UTC,1814.7243727823336,306698298.5978317,6365832.027895181
2021-07-24 00:00:00 UTC,1815.2944250071155,307557115.92583346,9132622.973058738
2021-07-25 00:00:00 UTC,1815.0529996818725,306789385.3085642,5352508.37547259
2021-07-26 00:00:00 UTC,1827.4702983033246,308272108.25931895,3867243.3257705676
2021-07-27 00:00:00 UTC,1795.477685412353,304778383.59873664,17658623.669357043
2021-07-28 00:00:00 UTC,1807.479162658392,304894589.5057346,7942471.369209887
2021-07-29 00:00:00 UTC,1817.1077494857057,304947828.5353455,8160691.355050797
2021-07-30 00:00:00 UTC,1830.5217807663132,307907953.8472283,6885755.346691392
2021-07-31 00:00:00 UTC,1828.266850105124,307815755.43031335,9601038.457704075
2021-08-01 00:00:00 UTC,1817.792013855412,305178665.4727317,4776409.958790144
2021-08-02 00:00:00 UTC,1805.4081601943167,302894992.1981415,6090175.766085174
2021-08-03 00:00:00 UTC,1817.7858655441598,304903134.7189513,6249524.226103471
2021-08-04 00:00:00 UTC,1818.8804953339115,305298653.6584569,4937714.431611271
2021-08-05 00:00:00 UTC,1816.6268914792524,304703965.65476954,7227781.44326173
2021-08-06 00:00:00 UTC,1807.8623222866286,303786147.84503376,7421909.4748970885
2021-08-07 00:00:00 UTC,1770.93465492004,297204363.57552373,15141653.1619753
2021-08-08 00:00:00 UTC,1777.2473215271764,298963007.2686697,9779657.109014675
2021-08-09 00:00:00 UTC,1727.06955907808,289340666.49963915,15576426.86304128
2021-08-10 00:00:00 UTC,1742.350978126531,297110550.0320617,14437609.319670336
2021-08-11 00:00:00 UTC,1742.6958918796588,302538704.42186666,7926713.922179254
2021-08-12 00:00:00 UTC,1758.3083247717543,305289142.8024511,7766359.365141169
2021-08-13 00:00:00 UTC,1763.2487128691228,307596066.1873989,10655261.009430174
2021-08-14 00:00:00 UTC,1783.5930189675576,317325382.3425712,9825648.104287788
2021-08-15 00:00:00 UTC,1777.409055738722,316050639.54338086,5213520.011000702
2021-08-16 00:00:00 UTC,1779.7081265957906,316398585.38105726,4938199.26300696
2021-08-17 00:00:00 UTC,1789.1940743722591,318408261.4628531,6365468.095215557
2021-08-18 00:00:00 UTC,1783.854412082912,323756351.75862724,8945155.706202235
2021-08-19 00:00:00 UTC,1790.3402104258837,325257187.92952555,9498732.139344258
2021-08-20 00:00:00 UTC,1786.013834915484,324302183.86640173,6328260.521533595
2021-08-21 00:00:00 UTC,1787.3600105488715,322923036.83649594,6125054.644139553
2021-08-22 00:00:00 UTC,1785.700521645203,323168251.276601,4227057.02569038
2021-08-23 00:00:00 UTC,1782.5782643232822,322968436.3318402,3456048.2857896276
2021-08-24 00:00:00 UTC,1804.1182223568264,326701301.06318194,6509550.747997329
2021-08-25 00:00:00 UTC,1804.056265937615,326305319.28205687,3856415.734149706
2021-08-26 00:00:00 UTC,1798.5949921975516,325462523.8433549,4429286.624600705
2021-08-27 00:00:00 UTC,1804.7085255509794,325805408.04451317,8713142.616007123
2021-08-28 00:00:00 UTC,1824.5020950861322,329414879.0951351,9204015.254085772
2021-08-29 00:00:00 UTC,1825.15010565049,329584166.10594505,2269285.972993236
2021-08-30 00:00:00 UTC,1820.7762906611692,328679330.86867756,3241452.798221193
2021-08-31 00:00:00 UTC,1818.6840623423689,327353166.3895324,4928914.8612868665
2021-09-01 00:00:00 UTC,1821.1366204025417,329590148.94127196,7073507.196465111
2021-09-02 00:00:00 UTC,1821.8877252800123,329619845.63762516,7042192.3971659485
2021-09-03 00:00:00 UTC,1816.0123809738946,329127121.66047186,5839618.436332076
2021-09-04 00:00:00 UTC,1835.19816733793,331796669.47151023,17748400.633689772
2021-09-05 00:00:00 UTC,1829.1189477682108,331831924.0276802,3850299.3566298373
2021-09-06 00:00:00 UTC,1829.070126013085,331603389.78517026,4950120.006971936
2021-09-07 00:00:00 UTC,1832.9911826642372,332623929.5132044,11897846.101316383
2021-09-08 00:00:00 UTC,1798.211877025018,311660636.6379491,17530016.24083435
2021-09-09 00:00:00 UTC,1793.5485832482539,307862339.0249814,10493366.72119321
2021-09-10 00:00:00 UTC,1797.9619797769053,309741833.9034289,8200770.282617119
2021-09-11 00:00:00 UTC,1798.824990544536,309469180.0377138,10689761.599748673
2021-09-12 00:00:00 UTC,1803.286771133465,309985727.60833484,5396883.77542722
2021-09-13 00:00:00 UTC,1796.3651002937015,309705895.390416,9465727.198067954
2021-09-14 00:00:00 UTC,1804.5866633213004,311336989.42678165,13608164.106184108
2021-09-15 00:00:00 UTC,1812.1105102604483,312551654.8858589,10206132.663111897
2021-09-16 00:00:00 UTC,1801.8423228185434,312126335.0448663,7796933.394207918
2021-09-17 00:00:00 UTC,1768.9445621855514,306537323.6987425,10153127.348789053
2021-09-18 00:00:00 UTC,1773.497213917486,313784897.3429122,7227144.963064709
2021-09-19 00:00:00 UTC,1771.8882032439176,313355924.05921227,5126441.254716797
